Year,Race_Num,RaceName,Circuit,Driver,Team,Quali_Pos,Quali_Time_Seconds
2021,1,Bahrain Grand Prix,Sakhir,VER,Red Bull Racing,1,88.997
2021,1,Bahrain Grand Prix,Sakhir,HAM,Mercedes,2,89.385
2021,1,Bahrain Grand Prix,Sakhir,BOT,Mercedes,3,89.586
2021,1,Bahrain Grand Prix,Sakhir,LEC,Ferrari,4,89.678
2021,1,Bahrain Grand Prix,Sakhir,GAS,AlphaTauri,5,89.809
2021,1,Bahrain Grand Prix,Sakhir,RIC,McLaren,6,89.927
2021,1,Bahrain Grand Prix,Sakhir,NOR,McLaren,7,89.974
2021,1,Bahrain Grand Prix,Sakhir,SAI,Ferrari,8,90.009
2021,1,Bahrain Grand Prix,Sakhir,ALO,Alpine,9,90.249
2021,1,Bahrain Grand Prix,Sakhir,STR,Aston Martin,10,90.601
2021,1,Bahrain Grand Prix,Sakhir,TSU,AlphaTauri,11,90.607
2021,1,Bahrain Grand Prix,Sakhir,PER,Red Bull Racing,12,90.659
2021,1,Bahrain Grand Prix,Sakhir,GIO,Alfa Romeo Racing,13,90.708
2021,1,Bahrain Grand Prix,Sakhir,RAI,Alfa Romeo Racing,14,91.238
2021,1,Bahrain Grand Prix,Sakhir,RUS,Williams,15,91.316
2021,1,Bahrain Grand Prix,Sakhir,OCO,Alpine,16,91.724
2021,1,Bahrain Grand Prix,Sakhir,LAT,Williams,17,91.936
2021,1,Bahrain Grand Prix,Sakhir,VET,Aston Martin,18,92.056
2021,1,Bahrain Grand Prix,Sakhir,MSC,Haas F1 Team,19,92.449
2021,1,Bahrain Grand Prix,Sakhir,MAZ,Haas F1 Team,20,93.273
2021,3,Portuguese Grand Prix,Portimão,HAM,Mercedes,1,77.968
2021,3,Portuguese Grand Prix,Portimão,VER,Red Bull Racing,2,78.209
2021,3,Portuguese Grand Prix,Portimão,BOT,Mercedes,3,78.348
2021,3,Portuguese Grand Prix,Portimão,NOR,McLaren,4,78.481
