Year,Race_Num,RaceName,Circuit,Driver,Team,Grid_Pos,Finish_Pos,Status,Points,Laps
2021,1,Bahrain Grand Prix,Sakhir,hamilton,mercedes,2,1,Finished,25.0,56
2021,1,Bahrain Grand Prix,Sakhir,max_verstappen,red_bull,1,2,Finished,18.0,56
2021,1,Bahrain Grand Prix,Sakhir,bottas,mercedes,3,3,Finished,16.0,56
2021,1,Bahrain Grand Prix,Sakhir,norris,mclaren,7,4,Finished,12.0,56
2021,1,Bahrain Grand Prix,Sakhir,perez,red_bull,0,5,Finished,10.0,56
2021,1,Bahrain Grand Prix,Sakhir,leclerc,ferrari,4,6,Finished,8.0,56
2021,1,Bahrain Grand Prix,Sakhir,ricciardo,mclaren,6,7,Finished,6.0,56
2021,1,Bahrain Grand Prix,Sakhir,sainz,ferrari,8,8,Finished,4.0,56
2021,1,Bahrain Grand Prix,Sakhir,tsunoda,alphatauri,13,9,Finished,2.0,56
2021,1,Bahrain Grand Prix,Sakhir,stroll,aston_martin,10,10,Finished,1.0,56
2021,1,Bahrain Grand Prix,Sakhir,raikkonen,alfa,14,11,Finished,0.0,56
2021,1,Bahrain Grand Prix,Sakhir,giovinazzi,alfa,12,12,+1 Lap,0.0,55
2021,1,Bahrain Grand Prix,Sakhir,ocon,alpine,16,13,+1 Lap,0.0,55
2021,1,Bahrain Grand Prix,Sakhir,russell,williams,15,14,+1 Lap,0.0,55
2021,1,Bahrain Grand Prix,Sakhir,vettel,aston_martin,20,15,+1 Lap,0.0,55
2021,1,Bahrain Grand Prix,Sakhir,mick_schumacher,haas,18,16,+1 Lap,0.0,55
2021,1,Bahrain Grand Prix,Sakhir,gasly,alphatauri,5,17,Retired,0.0,52
2021,1,Bahrain Grand Prix,Sakhir,latifi,williams,17,18,Retired,0.0,51
2021,1,Bahrain Grand Prix,Sakhir,alonso,alpine,9,19,Brakes,0.0,32
2021,1,Bahrain Grand Prix,Sakhir,mazepin,haas,19,20,Accident,0.0,0
2021,2,Emilia Romagna Grand Prix,Imola,max_verstappen,red_bull,3,1,Finished,25.0,63
2021,2,Emilia Romagna Grand Prix,Imola,hamilton,mercedes,1,2,Finished,19.0,63
2021,2,Emilia Romagna Grand Prix,Imola,norris,mclaren,7,3,Finished,15.0,63
2021,2,Emilia Romagna Grand Prix,Imola,leclerc,ferrari,4,4,Finished,12.0,63
2021,2,Emilia Romagna Grand Prix,Imola,sainz,ferrari,11,5,Finished,10.0,63
2021,2,Emilia Romagna Grand Prix,Imola,ricciardo,mclaren,6,6,Finished,8.0,63
2021,2,Emilia Romagna Grand Prix,Imola,gasly,alphatauri,5,7,Finished,6.0,63
2021,2,Emilia Romagna Grand Prix,Imola,stroll,aston_martin,10,8,Finished,4.0,63
2021,2,Emilia Romagna Grand Prix,Imola,ocon,alpine,9,9,Finished,2.0,63
2021,2,Emilia Romagna Grand Prix,Imola,alonso,alpine,15,10,Finished,1.0,63
2021,2,Emilia Romagna Grand Prix,Imola,perez,red_bull,2,11,Finished,0.0,63
2021,2,Emilia Romagna Grand Prix,Imola,tsunoda,alphatauri,20,12,Finished,0.0,63
2021,2,Emilia Romagna Grand Prix,Imola,raikkonen,alfa,16,13,Finished,0.0,63
2021,2,Emilia Romagna Grand Prix,Imola,giovinazzi,alfa,17,14,+1 Lap,0.0,62
2021,2,Emilia Romagna Grand Prix,Imola,vettel,aston_martin,0,15,Gearbox,0.0,61
2021,2,Emilia Romagna Grand Prix,Imola,mick_schumacher,haas,18,16,+2 Laps,0.0,61
2021,2,Emilia Romagna Grand Prix,Imola,mazepin,haas,19,17,+2 Laps,0.0,61
2021,2,Emilia Romagna Grand Prix,Imola,bottas,mercedes,8,18,Collision,0.0,30
2021,2,Emilia Romagna Grand Prix,Imola,russell,williams,12,19,Collision,0.0,30
2021,2,Emilia Romagna Grand Prix,Imola,latifi,williams,14,20,Collision,0.0,0
2021,3,Portuguese Grand Prix,Portimão,hamilton,mercedes,2,1,Finished,25.0,66
2021,3,Portuguese Grand Prix,Portimão,max_verstappen,red_bull,3,2,Finished,18.0,66
2021,3,Portuguese Grand Prix,Portimão,bottas,mercedes,1,3,Finished,16.0,66
2021,3,Portuguese Grand Prix,Portimão,perez,red_bull,4,4,Finished,12.0,66
2021,3,Portuguese Grand Prix,Portimão,norris,mclaren,7,5,Finished,10.0,66
2021,3,Portuguese Grand Prix,Portimão,leclerc,ferrari,8,6,Finished,8.0,66
